name,url
Samariterverein Giswil,http://www.samariter-giswil.ch
Section de samaritains La Serine,http://www.sama-la-serine.ch
Samariterverein Glarus-Riedern,http://www.sv-glarus-riedern.ch
Samariterverein Goldach-Mörschwil-Untereggen,http://www.samariter-goldach.ch
Samariterverein Goldiwil-Schwendibach,None
Samariterverein Uznach-Gommiswald-Ernetschwil,http://www.samverein.ch
Samariterverein Gonten,http://www.samariterverein-gonten.ch
Samariterverein Gontenschwil-Zetzwil,None
Sezione samaritani Bassa Vallemaggia,None
Samariterverein Gossau SG,http://www.samariter-gossau.ch
Samariterverein Gossau ZH,http://www.samariterverein-gossau-zh.ch
Samariterverein Gottstatt,None
Samariterverein Grabs,http://www.samariter-grabs.ch
Samariterverein Grächen,None
Section de samaritains Grand-Saconnex,http://www.samaritainsgrandsaconnex.sitew.ch
Samariterverein Grenchen u.U.,None
Samariterverein Grengiols,None
Samariterverein Grindelwald,http://www.samariter-grindelwald.ch
Section de samaritains Grône,None
Samariterverein Grossaffoltern,http://www.samariter-grossaffoltern.ch
Samariterverein Grossdietwil-Altbüron,None
Samariterverein Oberes Kiesental,http://www.sv-ok.ch
Samariterverein Grosswangen,None
Samariterverein Grub,None
Samariterverein Grünenmatt,None
Samariterverein Grüningen,None
Samariterverein Saanenland,None
Samariterverein Gurmels,http://www.sv-gurmels.ch/
Samariterverein Gurtnellen,None
Samariterverein Guttannen,None
Samariterverein Habkern,None
Samariterverein Hägendorf und Umgebung,None
Samariterverein Häggenschwil,None
Samariterverein Hasle-Rüegsau-Oberburg,None
Samariterverein Nidfurn-Haslen-Leuggelbach,None
Samariterverein Hasliberg,http://samariter-hasliberg.ch/
Samariterverein Hauptwil-Gottshaus,None
Section de samaritains du Haut-Lac,None
Section de samaritains Haute-Veveyse / Glâne-Sud,http://www.samaritains-hvgs.ch
Samariterverein Hedingen,http://www.svhedingen.ch
Samariterverein Heimberg,https://www.samariter-heimberg.ch/
Samariterverein Heitenried,https://www.samariter-heitenried.com
Samariterverein Hemberg u.U.,None
Samariterverein Herbetswil,None
Samariterverein Herdern u. Umgebung,http://www.samariter-herdern.ch
Samariterverein Lopper,http://www.samariter-lopper.ch
Samariterverein Herisau,None
Samariter Staffeleggtal,http://www.samariter-staffeleggtal.ch
Samariterverein Herzogenbuchsee u. Umgebung,http://www.samariter-herzogenbuchsee.ch
Samariterverein Hettlingen-Dägerlen-Seuzach,None
Samariterverein Hildisrieden,None
Samariterverein Hindelbank,None
Samariterverein Hinwil,http://www.samariterverein-hinwil.ch
Samariterverein Hitzkirch,http://www.samariter-hitzkirch.com
Samariterverein Hochdorf und Umgebung,http://www.samariterverein-hochdorf.ch
Samariterverein Holderbank,None
Samariterverein Hölstein,None
Samariterverein Hombrechtikon,None
Samariterverein Horgen,None
Samariterverein Höri,http://www.abc-samariter.ch
Samariterverein Horn-Tübach,http://www.samariter-horn.ch
Samariterverein Hundwil,None
Samariterverein Hüntwangen-Wil,http://www.abc-samariter.ch
Samariterverein Huttwil u. Umgebung,http://www.samariter-huttwil.ch
Samariterverein Seebachtal Hüttwilen,http://www.samariterverein-huettwilen.ch
Samariterverein Illnau Effretikon,http://www.samariter-effretikon.ch
Samariterverein Innertkirchen,http://www.samariter-innertkirchen.ch
Samariterverein Ins und Umgebung,http://samariter-ins.ch
